bpc,allocation,read_bounds,confmat,bw,ber,cer,is_pba
2,"((0, 8), (32, 33), (50, 54), (60, 61))","[0, 19, 39, 55, 64]","[[1445    7    0    0]
 [   3 1405    0    0]
 [   0    1 1406    1]
 [   0    0    7 1401]]",218102.23431924602,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (52, 53), (60, 63))","[0, 17, 41, 54, 64]","[[1447    5    0    0]
 [   5 1403    0    0]
 [   0    1 1402    5]
 [   0    0    3 1405]]",217703.27171508604,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 6), (33, 34), (49, 50), (58, 61))","[0, 21, 39, 52, 64]","[[1450    2    0    0]
 [  10 1397    1    0]
 [   0    0 1406    2]
 [   0    0    4 1404]]",217008.67109931537,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 1), (33, 34), (49, 50), (59, 62))","[0, 20, 39, 52, 64]","[[1443    9    0    0]
 [   6 1401    1    0]
 [   0    0 1406    2]
 [   0    0    1 1407]]",216837.43448820186,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (33, 34), (49, 50), (59, 62))","[0, 20, 39, 52, 64]","[[1443    9    0    0]
 [   6 1401    1    0]
 [   0    0 1406    2]
 [   0    0    1 1407]]",216837.43448820186,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (53, 54), (60, 62))","[0, 17, 41, 55, 64]","[[1447    5    0    0]
 [   5 1403    0    0]
 [   0    0 1403    5]
 [   0    0    4 1404]]",216606.3858570817,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 1), (33, 34), (50, 51), (60, 61))","[0, 20, 40, 53, 64]","[[1443    9    0    0]
 [   6 1401    1    0]
 [   0    0 1407    1]
 [   0    0    2 1406]]",214967.616495024,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (33, 34), (50, 51), (60, 61))","[0, 20, 40, 53, 64]","[[1443    9    0    0]
 [   6 1401    1    0]
 [   0    0 1407    1]
 [   0    0    2 1406]]",214967.616495024,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 6), (33, 34), (48, 49), (59, 62))","[0, 21, 39, 52, 64]","[[1450    2    0    0]
 [  10 1397    1    0]
 [   0    5 1403    0]
 [   0    0    1 1407]]",214364.67915617506,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (50, 51), (59, 63))","[0, 19, 40, 53, 64]","[[1445    7    0    0]
 [   3 1405    0    0]
 [   0    0 1407    1]
 [   0    0    8 1400]]",214338.9204194564,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (52, 53), (60, 63))","[0, 19, 40, 54, 64]","[[1445    7    0    0]
 [   3 1405    0    0]
 [   0    1 1402    5]
 [   0    0    3 1405]]",213347.13281787682,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (46, 47), (59, 63))","[0, 17, 37, 51, 64]","[[1447    5    0    0]
 [   5 1399    4    0]
 [   0    3 1405    0]
 [   0    0    2 1406]]",213243.06728838998,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (53, 54), (60, 62))","[0, 19, 41, 55, 64]","[[1445    7    0    0]
 [   3 1405    0    0]
 [   0    0 1403    5]
 [   0    0    4 1404]]",212293.59790182338,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (48, 49), (58, 62))","[0, 17, 37, 51, 64]","[[1447    5    0    0]
 [   5 1399    4    0]
 [   0    2 1404    2]
 [   0    0    1 1407]]",211848.70601522102,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (51, 52), (60, 61))","[0, 17, 41, 55, 64]","[[1447    5    0    0]
 [   5 1403    0    0]
 [   0    2 1406    0]
 [   0    0    7 1401]]",211667.05538424253,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 6), (32, 33), (50, 54), (60, 62))","[0, 20, 39, 55, 64]","[[1444    8    0    0]
 [   5 1403    0    0]
 [   0    1 1406    1]
 [   0    0    4 1404]]",210855.42270391004,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (46, 47), (58, 61))","[0, 17, 37, 50, 64]","[[1447    5    0    0]
 [   5 1399    4    0]
 [   0    3 1403    2]
 [   0    0    0 1408]]",210651.71189425047,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 6), (32, 33), (50, 53), (60, 62))","[0, 20, 40, 54, 64]","[[1444    8    0    0]
 [   5 1403    0    0]
 [   0    0 1402    6]
 [   0    0    0 1408]]",210583.81858533065,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (48, 49), (59, 63))","[0, 19, 39, 51, 64]","[[1445    7    0    0]
 [   3 1405    0    0]
 [   0    5 1401    2]
 [   0    0    2 1406]]",209967.74582668682,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 1), (32, 33), (49, 51), (60, 62))","[0, 20, 38, 54, 64]","[[1443    9    0    0]
 [   5 1399    4    0]
 [   0    1 1407    0]
 [   0    0    0 1408]]",209391.38193850615,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (32, 33), (49, 51), (60, 62))","[0, 20, 38, 54, 64]","[[1443    9    0    0]
 [   5 1399    4    0]
 [   0    1 1407    0]
 [   0    0    0 1408]]",209391.38193850615,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (47, 48), (58, 61))","[0, 17, 37, 50, 64]","[[1447    5    0    0]
 [   5 1399    4    0]
 [   0    2 1403    3]
 [   0    0    0 1408]]",209078.6217784201,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (48, 49), (58, 61))","[0, 19, 39, 51, 64]","[[1445    7    0    0]
 [   3 1405    0    0]
 [   0    5 1401    2]
 [   0    0    2 1406]]",207454.91426659672,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (46, 47), (57, 58))","[0, 17, 37, 50, 64]","[[1447    5    0    0]
 [   5 1399    4    0]
 [   0    3 1403    2]
 [   0    0    0 1408]]",205190.5324137112,0.0016737138830162086,0.0033474277660323626,True
2,"((0, 6), (32, 33), (51, 52), (60, 63))","[0, 20, 40, 54, 64]","[[1444    8    0    0]
 [   5 1403    0    0]
 [   0    1 1405    2]
 [   0    0    3 1405]]",204635.73331589275,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (47, 48), (59, 61))","[0, 19, 38, 52, 64]","[[1445    7    0    0]
 [   3 1401    4    0]
 [   0    5 1403    0]
 [   0    0    0 1408]]",204505.4198018521,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (47, 48), (60, 62))","[0, 19, 38, 53, 64]","[[1445    7    0    0]
 [   3 1401    4    0]
 [   0    5 1403    0]
 [   0    0    0 1408]]",203721.5542136333,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 9), (31, 32), (47, 48), (57, 58))","[0, 17, 37, 50, 64]","[[1447    5    0    0]
 [   5 1399    4    0]
 [   0    2 1403    3]
 [   0    0    0 1408]]",203697.66120712267,0.0016737138830162086,0.0033474277660323626,True
2,"((0, 1), (32, 33), (50, 51), (59, 62))","[0, 20, 40, 53, 64]","[[1443    9    0    0]
 [   5 1403    0    0]
 [   0    0 1407    1]
 [   0    0    4 1404]]",202424.38423109733,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (32, 33), (50, 51), (59, 62))","[0, 20, 40, 53, 64]","[[1443    9    0    0]
 [   5 1403    0    0]
 [   0    0 1407    1]
 [   0    0    4 1404]]",202424.38423109733,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 8), (32, 33), (47, 48), (60, 61))","[0, 19, 38, 52, 64]","[[1445    7    0    0]
 [   3 1401    4    0]
 [   0    5 1403    0]
 [   0    0    0 1408]]",201435.78488683628,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 6), (32, 33), (52, 53), (60, 62))","[0, 20, 40, 54, 64]","[[1444    8    0    0]
 [   5 1403    0    0]
 [   0    1 1402    5]
 [   0    0    0 1408]]",200420.270489076,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 6), (32, 33), (48, 49), (59, 62))","[0, 20, 39, 52, 64]","[[1444    8    0    0]
 [   5 1403    0    0]
 [   0    5 1403    0]
 [   0    0    1 1407]]",198521.24233691086,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 1), (32, 33), (48, 49), (59, 61))","[0, 20, 39, 52, 64]","[[1443    9    0    0]
 [   5 1403    0    0]
 [   0    5 1403    0]
 [   0    0    0 1408]]",198146.42324068965,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (32, 33), (48, 49), (59, 61))","[0, 20, 39, 52, 64]","[[1443    9    0    0]
 [   5 1403    0    0]
 [   0    5 1403    0]
 [   0    0    0 1408]]",198146.42324068965,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 1), (32, 33), (48, 49), (60, 62))","[0, 20, 39, 53, 64]","[[1443    9    0    0]
 [   5 1403    0    0]
 [   0    5 1403    0]
 [   0    0    0 1408]]",197410.45988014463,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (32, 33), (48, 49), (60, 62))","[0, 20, 39, 53, 64]","[[1443    9    0    0]
 [   5 1403    0    0]
 [   0    5 1403    0]
 [   0    0    0 1408]]",197410.45988014463,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 1), (32, 33), (48, 49), (60, 61))","[0, 20, 39, 52, 64]","[[1443    9    0    0]
 [   5 1403    0    0]
 [   0    5 1403    0]
 [   0    0    0 1408]]",195263.3723946754,0.0016737138830162086,0.0033474277660323626,False
2,"((0, 4), (32, 33), (48, 49), (60, 61))","[0, 20, 39, 52, 64]","[[1443    9    0    0]
 [   5 1403    0    0]
 [   0    5 1403    0]
 [   0    0    0 1408]]",195263.3723946754,0.0016737138830162086,0.0033474277660323626,False
